Santo Antônio do Palma (RS);150
São Paulo das Missões (RS);150
União da Serra (RS);150
Terenos (MS);150
Óbidos (PA);149
Uruçuí (PI);149
Camocim (CE);149
Mirangaba (BA);149
Pedras de Maria da Cruz (MG);149
Álvares Machado (SP);149
Caarapó (MS);149
Mauriti (CE);148
Andaraí (BA);148
Lapão (BA);148
Mantena (MG);148
Nanuque (MG);148
Piracaia (SP);148
Bela Vista de Goiás (GO);148
Niquelândia (GO);148
Aquiraz (CE);147
Cascavel (CE);147
Missão Velha (CE);147
Marechal Deodoro (AL);147
Igaraçu do Tietê (SP);147
São João do Triunfo (PR);147
Jussara (GO);147
Pirenópolis (GO);147
Agudos (SP);146
Ibiúna (SP);146
Altônia (PR);146
Três Barras (SC);146
Porto Mauá (RS);146
Joaquim Pires (PI);145
Acopiara (CE);145
Araci (BA);145
Guararema (SP);145
Bandeirantes (PR);145
Almirante Tamandaré do Sul (RS);145
São Gabriel do Oeste (MS);145
Ribeira do Pombal (BA);144
Arapoti (PR);144
Ibaiti (PR);144
Guaraí (TO);143
Arraial do Cabo (RJ);143
Maricá (RJ);143
Rio das Ostras (RJ);143
Minaçu (GO);143
Pires do Rio (GO);143
Tucuruí (PA);142
Guapimirim (RJ);142
Monte Alegre de Goiás (GO);142
Varjota (CE);141
Monte Alegre de Sergipe (SE);141
Nova Viçosa (BA);141
Cristália (MG);141
Maripá (PR);141
Arroio do Sal (RS);141
Sapucaia (PA);140
Parnaguá (PI);140
Governador Dix-Sept Rosado (RN);140
Boquira (BA);140
Paramirim (BA);140
Cambuí (MG);140
Balneário Pinhal (RS);140
Dom Pedrito (RS);140
São Vendelino (RS);140
Taquari (RS);140
Amambai (MS);140
Moreno (PE);139
São José da Tapera (AL);139
Dois Córregos (SP);139
Realeza (PR);139
Balneário Rincão (SC);139
Sidrolândia (MS);139
Itapuranga (GO);139
Santa Rita (MA);138
Pau dos Ferros (RN);138
Pitanga (PR);138
Almenara (MG);137
Córrego Fundo (MG);137
Promissão (SP);137
Terra Rica (PR);137
Três Passos (RS);137
Bom Jesus (PI);136
Pesqueira (PE);136
Buritizeiro (MG);136
Campo Magro (PR);136
Governador Celso Ramos (SC);136
São Lourenço do Oeste (SC);136
Três Cachoeiras (RS);136
Itaberaí (GO);136
Limoeiro (PE);135
União dos Palmares (AL);135
Capelinha (MG);135
Santana do Paraíso (MG);135
Guariba (SP);135
Tucumã (PA);134
Cedro (CE);134
Cajazeiras (PB);134
Ouricuri (PE);134
Belo Vale (MG);134
Mato Verde (MG);134
Comendador Levy Gasparian (RJ);134
Socorro (SP);134
Corbélia (PR);134
Caçapava do Sul (RS);134
Esmeralda (RS);134
Sapezal (MT);134
Cristalina (GO);134
Guararapes (SP);133
Santa Vitória do Palmar (RS);133
Cocalzinho de Goiás (GO);133
Guajará-Mirim (RO);132
Botumirim (MG);132
Piúma (ES);132
Biritiba Mirim (SP);132
Coronel Vivida (PR);132
Lagoa Vermelha (RS);132
Paverama (RS);132
Cassilândia (MS);132
Colorado do Oeste (RO);131
Carira (SE);131
Cândido Mota (SP);131
Andirá (PR);131
Guarabira (PB);130
Escada (PE);130
Serra Dourada (BA);130
Corinto (MG);130
Monte Alegre de Minas (MG);130
Altinópolis (SP);130
Nova Trento (SC);130
Schroeder (SC);130
Sombrio (SC);130
Butiá (RS);130
Santa Rita (PB);129
Piraju (SP);129
Santo Amaro da Imperatriz (SC);129
Dois Irmãos (RS);129
Timbaúba (PE);128
Rio Real (BA);128
Jaboticatubas (MG);128
Santa Vitória (MG);128
Pirapozinho (SP);128
Capanema (PR);128
Santa Fé (PR);128
Santa Helena (PR);128
Iraceminha (SC);128
Santa Luzia (MA);127
Araçuaí (MG);127
Barão de Cocais (MG);127
Itamarandiba (MG);127
Castelo (ES);127
Ilhabela (SP);127
Chopinzinho (PR);127
Canguçu (RS);127
Anastácio (MS);127
Santa Bárbara (MG);126
Águas de Lindóia (SP);126
Potirendaba (SP);126
Rosana (SP);126
Esperantina (PI);125
Ibicuitinga (CE);125
Andradas (MG);125
João Neiva (ES);125
Rebouças (PR);125
Condor (RS);125
Progresso (RS);125
Cabrobó (PE);124
Ilha de Itamaracá (PE);124
Nossa Senhora da Glória (SE);124
Cachoeira Paulista (SP);124
União (PI);123
Massapê (CE);123
Lajedo (PE);123
Francisco Dumont (MG);123
Varzelândia (MG);123
Cajati (SP);123
Regente Feijó (SP);123
São Miguel da Boa Vista (SC);123
Igrejinha (RS);123
São José do Sul (RS);123
Piracanjuba (GO);123
Barras (PI);122
Monte Santo de Minas (MG);122
